,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,42.0,0.0,6.0,2.0,0.0,5.0
50%,42.0,0.0,6.0,2.0,0.0,5.0
75%,42.0,0.0,6.0,2.0,0.0,5.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,42.0,0.0,6.0,2.0,0.0,5.0
mean,42.0,0.0,6.0,2.0,0.0,5.0
min,42.0,0.0,6.0,2.0,0.0,5.0
std,,,,,,
