,0.0,1.0,2.0,3.0,4.0,6.0
Total Rows,41.0,,,,,
AGE_min,11.0,,,,,
AGE_25%,61.0,,,,,
AGE_50%,67.0,,,,,
AGE_75%,72.0,,,,,
AGE_max,80.0,,,,,
AGE_std,15.577266111619045,,,,,
LOS_min,2.0,,,,,
LOS_25%,3.0,,,,,
LOS_50%,5.0,,,,,
LOS_75%,18.0,,,,,
LOS_max,43.0,,,,,
LOS_std,12.092882405698353,,,,,
RACE,0.0,22.0,3.0,2.0,3.0,9.0
ZIPINC_QRTL,0.0,8.0,17.0,7.0,9.0,0.0
DIED,41.0,0.0,0.0,0.0,0.0,0.0
