,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,48.2,0.6,1.8,1.0,0.0,6.8
50%,48.2,0.6,1.8,1.0,0.0,6.8
75%,48.2,0.6,1.8,1.0,0.0,6.8
count,1.0,1.0,1.0,0.8,1.0,1.0
max,48.2,0.6,1.8,1.0,0.0,6.8
mean,48.2,0.6,1.8,1.0,0.0,6.8
min,48.2,0.6,1.8,1.0,0.0,6.8
std,,,,,,
