,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,4.0,0.0,2.0,4.0,0.0,1.0
50%,4.0,0.0,2.0,4.0,0.0,1.0
75%,4.0,0.0,2.0,4.0,0.0,1.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,4.0,0.0,2.0,4.0,0.0,1.0
mean,4.0,0.0,2.0,4.0,0.0,1.0
min,4.0,0.0,2.0,4.0,0.0,1.0
std,,,,,,
