,0.0,1.0,2.0,4.0
Total Rows,3.0,,,
AGE_min,4.0,,,
AGE_25%,20.0,,,
AGE_50%,36.0,,,
AGE_75%,43.5,,,
AGE_max,51.0,,,
AGE_std,24.006943440041116,,,
LOS_min,4.0,,,
LOS_25%,4.5,,,
LOS_50%,5.0,,,
LOS_75%,5.5,,,
LOS_max,6.0,,,
LOS_std,1.0,,,
RACE,0.0,2.0,1.0,0.0
ZIPINC_QRTL,0.0,0.0,1.0,2.0
DIED,3.0,0.0,0.0,0.0
