,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,63.0,0.5,2.0,1.0,0.0,2.5
50%,63.0,0.5,2.0,1.0,0.0,2.5
75%,63.0,0.5,2.0,1.0,0.0,2.5
count,1.0,1.0,0.5,1.0,1.0,1.0
max,63.0,0.5,2.0,1.0,0.0,2.5
mean,63.0,0.5,2.0,1.0,0.0,2.5
min,63.0,0.5,2.0,1.0,0.0,2.5
std,,,,,,
