,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,57.85052447552447,0.12237762237762238,1.447879858657244,2.566666666666667,0.0008741258741258741,3.3452797202797204
50%,59.92482517482517,0.16258741258741258,1.5600706713780919,2.805263157894737,0.0017482517482517483,3.7902097902097904
75%,62.02010489510489,0.243006993006993,1.7279151943462898,3.0210526315789474,0.0026223776223776225,4.578671328671328
count,2.4335664335664338,2.4335664335664338,2.3426573426573425,2.3776223776223775,2.4335664335664338,2.4335664335664338
max,64.45104895104895,0.3881118881118881,1.9929328621908127,3.2140350877192985,0.006993006993006993,5.8076923076923075
mean,59.91862682771774,0.20127385241021603,1.6051425410082654,2.7790225563909776,0.0024475524475524473,4.095393369257006
min,55.35314685314685,0.09090909090909091,1.325088339222615,2.287719298245614,0.0,2.9055944055944054
std,7.687111205272265,0.26949506306230686,0.616760970873247,0.8323662283007202,0.006521584049076304,2.569313609184764
