,0.0,1.0,2.0,3.0,4.0,6.0
Total Rows,30.0,,,,,
AGE_min,37.0,,,,,
AGE_25%,55.5,,,,,
AGE_50%,63.0,,,,,
AGE_75%,67.75,,,,,
AGE_max,77.0,,,,,
AGE_std,10.32066334854611,,,,,
LOS_min,1.0,,,,,
LOS_25%,3.0,,,,,
LOS_50%,4.0,,,,,
LOS_75%,5.75,,,,,
LOS_max,17.0,,,,,
LOS_std,3.0454412888246853,,,,,
RACE,0.0,21.0,2.0,3.0,2.0,1.0
ZIPINC_QRTL,0.0,2.0,7.0,8.0,12.0,0.0
DIED,30.0,0.0,0.0,0.0,0.0,0.0
