,0.0,1.0,2.0
Total Rows,1.0,,
AGE_min,61.0,,
AGE_25%,61.0,,
AGE_50%,61.0,,
AGE_75%,61.0,,
AGE_max,61.0,,
AGE_std,,,
LOS_min,16.0,,
LOS_25%,16.0,,
LOS_50%,16.0,,
LOS_75%,16.0,,
LOS_max,16.0,,
LOS_std,,,
RACE,0.0,1.0,0.0
ZIPINC_QRTL,0.0,0.0,1.0
DIED,1.0,0.0,0.0
