,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,25.666666666666668,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.0,3.3333333333333335
50%,25.666666666666668,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.0,3.3333333333333335
75%,25.666666666666668,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.0,3.3333333333333335
count,1.0,1.0,1.0,1.0,1.0,1.0
max,25.666666666666668,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.0,3.3333333333333335
mean,25.666666666666668,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.0,3.3333333333333335
min,25.666666666666668,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.0,3.3333333333333335
std,,,,,,
