,0.0,1.0,3.0,2.0,4.0
Total Rows,4.0,,,,
AGE_min,1.0,,,,
AGE_25%,6.25,,,,
AGE_50%,8.5,,,,
AGE_75%,10.75,,,,
AGE_max,16.0,,,,
AGE_std,6.137317546507322,,,,
LOS_min,3.0,,,,
LOS_25%,3.0,,,,
LOS_50%,3.5,,,,
LOS_75%,8.5,,,,
LOS_max,22.0,,,,
LOS_std,9.345230512584124,,,,
RACE,0.0,2.0,1.0,0.0,0.0
ZIPINC_QRTL,0.0,0.0,0.0,2.0,2.0
DIED,4.0,0.0,0.0,0.0,0.0
