,0.0,1.0,3.0,4.0
Total Rows,7.0,,,
AGE_min,37.0,,,
AGE_25%,54.5,,,
AGE_50%,63.0,,,
AGE_75%,65.0,,,
AGE_max,67.0,,,
AGE_std,11.416362526362473,,,
LOS_min,1.0,,,
LOS_25%,2.5,,,
LOS_50%,3.0,,,
LOS_75%,4.5,,,
LOS_max,8.0,,,
LOS_std,2.4299715851758235,,,
RACE,0.0,6.0,1.0,0.0
ZIPINC_QRTL,0.0,1.0,5.0,1.0
DIED,7.0,0.0,0.0,0.0
