,0.0,1.0,2.0,3.0
Total Rows,3.0,,,
AGE_min,38.0,,,
AGE_25%,45.5,,,
AGE_50%,53.0,,,
AGE_75%,64.0,,,
AGE_max,75.0,,,
AGE_std,18.610033136277146,,,
LOS_min,3.0,,,
LOS_25%,4.0,,,
LOS_50%,5.0,,,
LOS_75%,5.0,,,
LOS_max,5.0,,,
LOS_std,1.1547005383792517,,,
RACE,0.0,1.0,1.0,1.0
ZIPINC_QRTL,0.0,2.0,0.0,1.0
DIED,3.0,0.0,0.0,0.0
