,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,24.464285714285715,0.33035714285714285,1.9615384615384615,2.548076923076923,0.0,2.669642857142857
50%,24.535714285714285,0.3392857142857143,1.9615384615384615,2.5576923076923075,0.0,2.6964285714285716
75%,24.607142857142858,0.3482142857142857,1.9615384615384615,2.5673076923076925,0.0,2.7232142857142856
count,1.0714285714285714,1.0714285714285714,1.0,1.0,1.0714285714285714,1.0714285714285714
max,24.678571428571427,0.35714285714285715,1.9615384615384615,2.576923076923077,0.0,2.75
mean,24.535714285714285,0.3392857142857143,1.9615384615384615,2.5576923076923075,0.0,2.6964285714285716
min,24.392857142857142,0.32142857142857145,1.9615384615384615,2.5384615384615383,0.0,2.642857142857143
std,2.8284271247461903,0.3535533905932738,0.0,0.3535533905932738,0.0,1.0606601717798214
