,0.0,1.0,2.0,3.0,6.0,4.0
Total Rows,6.0,,,,,
AGE_min,27.0,,,,,
AGE_25%,40.75,,,,,
AGE_50%,50.5,,,,,
AGE_75%,56.5,,,,,
AGE_max,62.0,,,,,
AGE_std,13.048627003124377,,,,,
LOS_min,1.0,,,,,
LOS_25%,4.0,,,,,
LOS_50%,5.0,,,,,
LOS_75%,6.75,,,,,
LOS_max,7.0,,,,,
LOS_std,2.3166067138525404,,,,,
RACE,0.0,3.0,1.0,1.0,1.0,0.0
ZIPINC_QRTL,0.0,1.0,1.0,2.0,0.0,2.0
DIED,6.0,0.0,0.0,0.0,0.0,0.0
