,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,49.615671641791046,1.0,2.0671641791044775,2.375,0.0,3.3955223880597014
50%,50.156716417910445,1.0,2.08955223880597,2.4166666666666665,0.0,3.4477611940298507
75%,50.69776119402985,1.0,2.111940298507463,2.4583333333333335,0.0,3.5
count,1.1194029850746268,1.1194029850746268,1.1194029850746268,1.1044776119402986,1.1194029850746268,1.1194029850746268
max,51.23880597014925,1.0,2.1343283582089554,2.5,0.0,3.5522388059701493
mean,50.156716417910445,1.0,2.08955223880597,2.4166666666666665,0.0,3.4477611940298507
min,49.07462686567164,1.0,2.044776119402985,2.3333333333333335,0.0,3.343283582089552
std,12.816310409006174,0.0,0.5303300858899107,0.9722718241315028,0.0,1.2374368670764582
