,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,44.0,1.0,1.0,1.0,0.0,6.0
50%,44.0,1.0,1.0,1.0,0.0,6.0
75%,44.0,1.0,1.0,1.0,0.0,6.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,44.0,1.0,1.0,1.0,0.0,6.0
mean,44.0,1.0,1.0,1.0,0.0,6.0
min,44.0,1.0,1.0,1.0,0.0,6.0
std,,,,,,
