,0.0,1.0,2.0,3.0,4.0
Total Rows,4.0,,,,
AGE_min,59.0,,,,
AGE_25%,62.0,,,,
AGE_50%,69.0,,,,
AGE_75%,76.25,,,,
AGE_max,80.0,,,,
AGE_std,9.878427675158296,,,,
LOS_min,1.0,,,,
LOS_25%,1.0,,,,
LOS_50%,1.5,,,,
LOS_75%,2.0,,,,
LOS_max,2.0,,,,
LOS_std,0.5773502691896257,,,,
RACE,0.0,3.0,1.0,0.0,0.0
ZIPINC_QRTL,0.0,1.0,1.0,1.0,1.0
DIED,4.0,0.0,0.0,0.0,0.0
