,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,65.0,1.0,2.0,3.0,0.0,2.0
50%,65.0,1.0,2.0,3.0,0.0,2.0
75%,65.0,1.0,2.0,3.0,0.0,2.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,65.0,1.0,2.0,3.0,0.0,2.0
mean,65.0,1.0,2.0,3.0,0.0,2.0
min,65.0,1.0,2.0,3.0,0.0,2.0
std,,,,,,
