,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,54.83139534883721,0.3856589147286822,2.4205426356589146,2.1726190476190474,0.0,2.7093023255813953
50%,56.298449612403104,0.4263565891472868,2.5387596899224807,2.2976190476190474,0.0,2.86046511627907
75%,57.82170542635659,0.4883720930232558,2.64922480620155,2.4563492063492065,0.0,3.0717054263565893
count,1.573643410852713,1.573643410852713,1.565891472868217,1.550387596899225,1.573643410852713,1.573643410852713
max,59.457364341085274,0.5348837209302325,2.7751937984496124,2.611111111111111,0.0,3.294573643410853
mean,56.32321889996309,0.4373015873015873,2.535861941675895,2.320200302343159,0.0,2.9009782207456625
min,53.201550387596896,0.3488372093023256,2.302325581395349,2.0555555555555554,0.0,2.550387596899225
std,11.005336926486107,0.3283542307520399,0.8399486853721233,0.9725582166873835,0.0,1.2952406837239918
