,0.0,1.0,2.0
Total Rows,2.0,,
AGE_min,34.0,,
AGE_25%,40.75,,
AGE_50%,47.5,,
AGE_75%,54.25,,
AGE_max,61.0,,
AGE_std,19.091883092036785,,
LOS_min,5.0,,
LOS_25%,5.25,,
LOS_50%,5.5,,
LOS_75%,5.75,,
LOS_max,6.0,,
LOS_std,0.7071067811865476,,
RACE,0.0,2.0,0.0
ZIPINC_QRTL,0.0,0.0,2.0
DIED,2.0,0.0,0.0
