,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,39.69642857142857,0.3392857142857143,1.9444444444444444,2.3392857142857144,0.0,3.580357142857143
50%,40.57142857142857,0.35714285714285715,2.037037037037037,2.392857142857143,0.0,3.875
75%,41.44642857142857,0.375,2.1296296296296298,2.4464285714285716,0.0,4.169642857142857
count,1.1428571428571428,1.1428571428571428,1.1071428571428572,1.1428571428571428,1.1428571428571428,1.1428571428571428
max,42.32142857142857,0.39285714285714285,2.2222222222222223,2.5,0.0,4.464285714285714
mean,40.57142857142857,0.35714285714285715,2.037037037037037,2.392857142857143,0.0,3.875
min,38.82142857142857,0.32142857142857145,1.8518518518518519,2.2857142857142856,0.0,3.2857142857142856
std,17.324116139070412,0.3535533905932738,1.7677669529663689,1.0606601717798212,0.0,5.833630944789017
