,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,41.5,0.5,2.0,3.0,0.0,9.0
50%,41.5,0.5,2.0,3.0,0.0,9.0
75%,41.5,0.5,2.0,3.0,0.0,9.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,41.5,0.5,2.0,3.0,0.0,9.0
mean,41.5,0.5,2.0,3.0,0.0,9.0
min,41.5,0.5,2.0,3.0,0.0,9.0
std,,,,,,
