,0.0,1.0,3.0,4.0,2.0
Total Rows,8.0,,,,
AGE_min,5.0,,,,
AGE_25%,15.75,,,,
AGE_50%,49.0,,,,
AGE_75%,61.5,,,,
AGE_max,79.0,,,,
AGE_std,28.027728617006613,,,,
LOS_min,2.0,,,,
LOS_25%,4.0,,,,
LOS_50%,5.0,,,,
LOS_75%,8.25,,,,
LOS_max,19.0,,,,
LOS_std,6.713525792862389,,,,
RACE,0.0,6.0,1.0,1.0,0.0
ZIPINC_QRTL,0.0,2.0,1.0,3.0,2.0
DIED,8.0,0.0,0.0,0.0,0.0
