,0.0,1.0,3.0,4.0,2.0
Total Rows,13.0,,,,
AGE_min,0.0,,,,
AGE_25%,2.0,,,,
AGE_50%,26.0,,,,
AGE_75%,38.0,,,,
AGE_max,78.0,,,,
AGE_std,23.72924194062935,,,,
LOS_min,5.0,,,,
LOS_25%,8.0,,,,
LOS_50%,9.0,,,,
LOS_75%,26.0,,,,
LOS_max,38.0,,,,
LOS_std,11.600176833311748,,,,
RACE,0.0,9.0,3.0,1.0,0.0
ZIPINC_QRTL,0.0,7.0,3.0,1.0,2.0
DIED,13.0,0.0,0.0,0.0,0.0
