,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,31.0,1.0,1.0,2.0,0.0,3.0
50%,31.0,1.0,1.0,2.0,0.0,3.0
75%,31.0,1.0,1.0,2.0,0.0,3.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,31.0,1.0,1.0,2.0,0.0,3.0
mean,31.0,1.0,1.0,2.0,0.0,3.0
min,31.0,1.0,1.0,2.0,0.0,3.0
std,,,,,,
