,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,51.666666666666664,0.3333333333333333,2.0,1.3333333333333333,0.0,1.6666666666666667
50%,52.0,0.3333333333333333,2.0,1.3333333333333333,0.0,1.6666666666666667
75%,52.333333333333336,0.3333333333333333,2.0,1.3333333333333333,0.0,1.6666666666666667
count,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667
max,52.666666666666664,0.3333333333333333,2.0,1.3333333333333333,0.0,1.6666666666666667
mean,52.0,0.3333333333333333,2.0,1.3333333333333333,0.0,1.6666666666666667
min,51.333333333333336,0.3333333333333333,2.0,1.3333333333333333,0.0,1.6666666666666667
std,5.656854249492381,0.0,0.0,0.0,0.0,0.0
