,0.0,1.0,3.0
Total Rows,3.0,,
AGE_min,5.0,,
AGE_25%,9.5,,
AGE_50%,14.0,,
AGE_75%,15.5,,
AGE_max,17.0,,
AGE_std,6.244997998398398,,
LOS_min,3.0,,
LOS_25%,3.5,,
LOS_50%,4.0,,
LOS_75%,4.5,,
LOS_max,5.0,,
LOS_std,1.0,,
RACE,0.0,2.0,1.0
ZIPINC_QRTL,0.0,1.0,2.0
DIED,3.0,0.0,0.0
