,0.0,1.0,2.0,3.0,6.0,4.0
Total Rows,27.0,,,,,
AGE_min,10.0,,,,,
AGE_25%,36.0,,,,,
AGE_50%,46.0,,,,,
AGE_75%,56.0,,,,,
AGE_max,68.0,,,,,
AGE_std,15.573646379010329,,,,,
LOS_min,3.0,,,,,
LOS_25%,5.0,,,,,
LOS_50%,7.0,,,,,
LOS_75%,27.0,,,,,
LOS_max,49.0,,,,,
LOS_std,14.590126622884219,,,,,
RACE,0.0,16.0,5.0,4.0,2.0,0.0
ZIPINC_QRTL,0.0,6.0,11.0,5.0,0.0,4.0
DIED,27.0,0.0,0.0,0.0,0.0,0.0
