,0.0,2.0,3.0,1.0
Total Rows,2.0,,,
AGE_min,10.0,,,
AGE_25%,18.0,,,
AGE_50%,26.0,,,
AGE_75%,34.0,,,
AGE_max,42.0,,,
AGE_std,22.627416997969522,,,
LOS_min,2.0,,,
LOS_25%,2.25,,,
LOS_50%,2.5,,,
LOS_75%,2.75,,,
LOS_max,3.0,,,
LOS_std,0.7071067811865476,,,
RACE,0.0,1.0,1.0,0.0
ZIPINC_QRTL,0.0,0.0,0.0,2.0
DIED,2.0,0.0,0.0,0.0
