,0.0,3.0,1.0
Total Rows,1.0,,
AGE_min,65.0,,
AGE_25%,65.0,,
AGE_50%,65.0,,
AGE_75%,65.0,,
AGE_max,65.0,,
AGE_std,,,
LOS_min,8.0,,
LOS_25%,8.0,,
LOS_50%,8.0,,
LOS_75%,8.0,,
LOS_max,8.0,,
LOS_std,,,
RACE,0.0,1.0,0.0
ZIPINC_QRTL,0.0,0.0,1.0
DIED,1.0,0.0,0.0
