,0.0,1.0,2.0,3.0,4.0
Total Rows,4.0,,,,
AGE_min,41.0,,,,
AGE_25%,46.25,,,,
AGE_50%,52.0,,,,
AGE_75%,59.25,,,,
AGE_max,69.0,,,,
AGE_std,12.013880860626733,,,,
LOS_min,3.0,,,,
LOS_25%,3.75,,,,
LOS_50%,4.0,,,,
LOS_75%,4.0,,,,
LOS_max,4.0,,,,
LOS_std,0.5,,,,
RACE,0.0,2.0,1.0,1.0,0.0
ZIPINC_QRTL,0.0,2.0,0.0,0.0,2.0
DIED,4.0,0.0,0.0,0.0,0.0
