,0.0,1.0,2.0,4.0
Total Rows,4.0,,,
AGE_min,63.0,,,
AGE_25%,63.0,,,
AGE_50%,64.5,,,
AGE_75%,66.25,,,
AGE_max,67.0,,,
AGE_std,2.0615528128088303,,,
LOS_min,1.0,,,
LOS_25%,2.5,,,
LOS_50%,4.0,,,
LOS_75%,5.0,,,
LOS_max,5.0,,,
LOS_std,1.9148542155126762,,,
RACE,0.0,3.0,1.0,0.0
ZIPINC_QRTL,0.0,3.0,0.0,1.0
DIED,4.0,0.0,0.0,0.0
