,0.0,1.0,2.0
Total Rows,5.0,,
AGE_min,58.0,,
AGE_25%,65.0,,
AGE_50%,71.0,,
AGE_75%,75.0,,
AGE_max,79.0,,
AGE_std,8.294576541331088,,
LOS_min,1.0,,
LOS_25%,1.0,,
LOS_50%,3.0,,
LOS_75%,4.0,,
LOS_max,13.0,,
LOS_std,4.979959839195493,,
RACE,0.0,4.0,1.0
ZIPINC_QRTL,0.0,1.0,3.0
DIED,5.0,0.0,0.0
