,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,17.483870967741936,0.3225806451612903,2.0161290322580645,2.338709677419355,0.0,6.57258064516129
50%,18.0,0.3225806451612903,2.032258064516129,2.3548387096774195,0.0,6.629032258064516
75%,18.516129032258064,0.3225806451612903,2.0483870967741935,2.370967741935484,0.0,6.685483870967742
count,1.096774193548387,1.096774193548387,1.096774193548387,1.096774193548387,1.096774193548387,1.096774193548387
max,19.032258064516128,0.3225806451612903,2.064516129032258,2.3870967741935485,0.0,6.741935483870968
mean,18.0,0.3225806451612903,2.032258064516129,2.3548387096774195,0.0,6.629032258064516
min,16.967741935483872,0.3225806451612903,2.0,2.3225806451612905,0.0,6.516129032258065
std,15.084944665313012,0.0,0.47140452079103173,0.47140452079103173,0.0,1.6499158227686108
