,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,64.66666666666667,0.0,1.0,2.6666666666666665,0.0,20.333333333333332
50%,64.66666666666667,0.0,1.0,2.6666666666666665,0.0,20.333333333333332
75%,64.66666666666667,0.0,1.0,2.6666666666666665,0.0,20.333333333333332
count,1.0,1.0,1.0,1.0,1.0,1.0
max,64.66666666666667,0.0,1.0,2.6666666666666665,0.0,20.333333333333332
mean,64.66666666666667,0.0,1.0,2.6666666666666665,0.0,20.333333333333332
min,64.66666666666667,0.0,1.0,2.6666666666666665,0.0,20.333333333333332
std,,,,,,
