,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,36.666666666666664,0.3333333333333333,2.0,1.3333333333333333,0.0,2.6666666666666665
50%,36.666666666666664,0.3333333333333333,2.0,1.3333333333333333,0.0,2.6666666666666665
75%,36.666666666666664,0.3333333333333333,2.0,1.3333333333333333,0.0,2.6666666666666665
count,1.0,1.0,1.0,1.0,1.0,1.0
max,36.666666666666664,0.3333333333333333,2.0,1.3333333333333333,0.0,2.6666666666666665
mean,36.666666666666664,0.3333333333333333,2.0,1.3333333333333333,0.0,2.6666666666666665
min,36.666666666666664,0.3333333333333333,2.0,1.3333333333333333,0.0,2.6666666666666665
std,,,,,,
