,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,52.0,1.0,1.0,1.0,0.0,3.0
50%,52.0,1.0,1.0,1.0,0.0,3.0
75%,52.0,1.0,1.0,1.0,0.0,3.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,52.0,1.0,1.0,1.0,0.0,3.0
mean,52.0,1.0,1.0,1.0,0.0,3.0
min,52.0,1.0,1.0,1.0,0.0,3.0
std,,,,,,
