,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,36.78846153846154,0.4807692307692308,1.5384615384615385,1.8653846153846154,0.0,4.923076923076923
50%,36.96153846153846,0.5,1.5384615384615385,1.8846153846153846,0.0,4.923076923076923
75%,37.13461538461539,0.5192307692307693,1.5384615384615385,1.9038461538461537,0.0,4.923076923076923
count,1.0769230769230769,1.0769230769230769,1.0769230769230769,1.0769230769230769,1.0769230769230769,1.0769230769230769
max,37.30769230769231,0.5384615384615384,1.5384615384615385,1.9230769230769231,0.0,4.923076923076923
mean,36.96153846153846,0.5,1.5384615384615385,1.8846153846153846,0.0,4.923076923076923
min,36.61538461538461,0.46153846153846156,1.5384615384615385,1.8461538461538463,0.0,4.923076923076923
std,6.363961030678928,0.7071067811865476,0.0,0.7071067811865476,0.0,0.0
