,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,42.6,0.7,1.95,2.9473684210526314,0.0,7.75
50%,42.6,0.7,1.95,2.9473684210526314,0.0,7.75
75%,42.6,0.7,1.95,2.9473684210526314,0.0,7.75
count,1.05,1.05,1.05,1.0,1.05,1.05
max,42.6,0.7,1.95,2.9473684210526314,0.0,7.75
mean,42.6,0.7,1.95,2.9473684210526314,0.0,7.75
min,42.6,0.7,1.95,2.9473684210526314,0.0,7.75
std,0.0,0.0,0.0,0.0,0.0,0.0
