,0.0,1.0,2.0,4.0
Total Rows,8.0,,,
AGE_min,3.0,,,
AGE_25%,20.75,,,
AGE_50%,27.0,,,
AGE_75%,45.25,,,
AGE_max,52.0,,,
AGE_std,17.394067133036238,,,
LOS_min,3.0,,,
LOS_25%,3.75,,,
LOS_50%,4.0,,,
LOS_75%,7.25,,,
LOS_max,12.0,,,
LOS_std,3.1594529363709247,,,
RACE,0.0,5.0,2.0,0.0
ZIPINC_QRTL,0.0,2.0,5.0,1.0
DIED,8.0,0.0,0.0,0.0
