,0.0,3.0,6.0,4.0
Total Rows,2.0,,,
AGE_min,32.0,,,
AGE_25%,34.5,,,
AGE_50%,37.0,,,
AGE_75%,39.5,,,
AGE_max,42.0,,,
AGE_std,7.0710678118654755,,,
LOS_min,3.0,,,
LOS_25%,3.25,,,
LOS_50%,3.5,,,
LOS_75%,3.75,,,
LOS_max,4.0,,,
LOS_std,0.7071067811865476,,,
RACE,0.0,1.0,1.0,0.0
ZIPINC_QRTL,0.0,1.0,0.0,1.0
DIED,2.0,0.0,0.0,0.0
