,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,66.0,0.0,4.0,3.0,0.0,5.0
50%,66.0,0.0,4.0,3.0,0.0,5.0
75%,66.0,0.0,4.0,3.0,0.0,5.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,66.0,0.0,4.0,3.0,0.0,5.0
mean,66.0,0.0,4.0,3.0,0.0,5.0
min,66.0,0.0,4.0,3.0,0.0,5.0
std,,,,,,
