,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,10.333333333333334,0.3333333333333333,1.5,2.6666666666666665,0.0,2.3333333333333335
50%,10.333333333333334,0.3333333333333333,1.5,2.6666666666666665,0.0,2.3333333333333335
75%,10.333333333333334,0.3333333333333333,1.5,2.6666666666666665,0.0,2.3333333333333335
count,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
max,10.333333333333334,0.3333333333333333,1.5,2.6666666666666665,0.0,2.3333333333333335
mean,10.333333333333334,0.3333333333333333,1.5,2.6666666666666665,0.0,2.3333333333333335
min,10.333333333333334,0.3333333333333333,1.5,2.6666666666666665,0.0,2.3333333333333335
std,,,,,,
