,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,36.09090909090909,0.6363636363636364,2.5,2.3636363636363638,0.0,5.909090909090909
50%,36.09090909090909,0.6363636363636364,2.5,2.3636363636363638,0.0,5.909090909090909
75%,36.09090909090909,0.6363636363636364,2.5,2.3636363636363638,0.0,5.909090909090909
count,1.0,1.0,0.9090909090909091,1.0,1.0,1.0
max,36.09090909090909,0.6363636363636364,2.5,2.3636363636363638,0.0,5.909090909090909
mean,36.09090909090909,0.6363636363636364,2.5,2.3636363636363638,0.0,5.909090909090909
min,36.09090909090909,0.6363636363636364,2.5,2.3636363636363638,0.0,5.909090909090909
std,,,,,,
