,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,43.5,0.5,1.0,3.0,0.0,2.5
50%,43.5,0.5,1.0,3.0,0.0,2.5
75%,43.5,0.5,1.0,3.0,0.0,2.5
count,1.0,1.0,1.0,1.0,1.0,1.0
max,43.5,0.5,1.0,3.0,0.0,2.5
mean,43.5,0.5,1.0,3.0,0.0,2.5
min,43.5,0.5,1.0,3.0,0.0,2.5
std,,,,,,
