,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,53.330714285714286,0.03,1.0392857142857144,1.8907142857142858,0.0,3.6
50%,62.65428571428571,0.3514285714285714,1.2771428571428571,2.7385714285714284,0.0,4.381428571428572
75%,69.64428571428572,0.88,2.0542857142857143,3.462857142857143,0.0,5.52
count,18.02,18.017142857142858,17.32857142857143,17.65714285714286,18.0,18.02
max,79.65142857142857,0.9942857142857143,4.328571428571428,3.9114285714285715,0.08285714285714285,16.645714285714284
mean,60.204347728956094,0.44772872002841657,1.7274475620656462,2.6502308242366066,0.004995281853855459,5.283623045942829
min,29.52857142857143,0.0,1.0,1.0714285714285714,0.0,2.08
std,14.112684486753809,0.49070031333873193,1.1198245349047067,1.042310931617545,0.01991007638013115,3.527971644712345
