,0.0,1.0,2.0,3.0,4.0
Total Rows,42.0,,,,
AGE_min,14.0,,,,
AGE_25%,52.0,,,,
AGE_50%,64.5,,,,
AGE_75%,68.75,,,,
AGE_max,81.0,,,,
AGE_std,15.690310080738778,,,,
LOS_min,1.0,,,,
LOS_25%,2.0,,,,
LOS_50%,3.0,,,,
LOS_75%,5.0,,,,
LOS_max,29.0,,,,
LOS_std,4.658176281741278,,,,
RACE,0.0,33.0,3.0,4.0,1.0
ZIPINC_QRTL,0.0,10.0,11.0,10.0,8.0
DIED,42.0,0.0,0.0,0.0,0.0
