,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,61.97222222222222,0.25,1.542857142857143,2.6,0.0,4.972222222222222
50%,61.97222222222222,0.25,1.542857142857143,2.6,0.0,4.972222222222222
75%,61.97222222222222,0.25,1.542857142857143,2.6,0.0,4.972222222222222
count,1.0,1.0,0.9722222222222222,0.9722222222222222,1.0,1.0
max,61.97222222222222,0.25,1.542857142857143,2.6,0.0,4.972222222222222
mean,61.97222222222222,0.25,1.542857142857143,2.6,0.0,4.972222222222222
min,61.97222222222222,0.25,1.542857142857143,2.6,0.0,4.972222222222222
std,,,,,,
