,0.0,1.0,2.0,3.0,4.0,6.0
Total Rows,53.0,,,,,
AGE_min,22.0,,,,,
AGE_25%,60.0,,,,,
AGE_50%,68.0,,,,,
AGE_75%,75.0,,,,,
AGE_max,88.0,,,,,
AGE_std,12.402946885190834,,,,,
LOS_min,1.0,,,,,
LOS_25%,2.0,,,,,
LOS_50%,4.0,,,,,
LOS_75%,5.0,,,,,
LOS_max,15.0,,,,,
LOS_std,2.584283187581023,,,,,
RACE,0.0,36.0,7.0,4.0,2.0,1.0
ZIPINC_QRTL,0.0,9.0,14.0,16.0,13.0,0.0
DIED,53.0,0.0,0.0,0.0,0.0,0.0
