,0.0,3.0
Total Rows,1.0,
AGE_min,46.0,
AGE_25%,46.0,
AGE_50%,46.0,
AGE_75%,46.0,
AGE_max,46.0,
AGE_std,,
LOS_min,0.0,
LOS_25%,0.0,
LOS_50%,0.0,
LOS_75%,0.0,
LOS_max,0.0,
LOS_std,,
RACE,0.0,1.0
ZIPINC_QRTL,0.0,1.0
DIED,1.0,0.0
