,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,59.5,0.0,2.5,1.0,0.0,4.0
50%,59.5,0.0,2.5,1.0,0.0,4.0
75%,59.5,0.0,2.5,1.0,0.0,4.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,59.5,0.0,2.5,1.0,0.0,4.0
mean,59.5,0.0,2.5,1.0,0.0,4.0
min,59.5,0.0,2.5,1.0,0.0,4.0
std,,,,,,
