,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,57.75436046511628,1.0,1.738235294117647,2.1700581395348837,0.0,2.3880813953488373
50%,59.13662790697674,1.0,1.8058823529411765,2.2848837209302326,0.0,2.546511627906977
75%,60.44912790697674,1.0,1.8705882352941177,2.4026162790697674,0.0,2.765988372093023
count,1.4767441860465116,1.4767441860465116,1.447674418604651,1.4709302325581395,1.4767441860465116,1.4767441860465116
max,61.75,1.0,1.9411764705882353,2.5174418604651163,0.0,2.994186046511628
mean,59.110949612403104,1.0,1.8053921568627451,2.285852713178295,0.0,2.5867248062015507
min,56.44186046511628,1.0,1.6705882352941177,2.052325581395349,0.0,2.2209302325581395
std,10.019379288896022,0.0,0.5440763705661291,0.8716810532398835,0.0,1.438609482140802
