,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,50.666666666666664,0.6666666666666666,1.0,2.6666666666666665,0.0,4.0
50%,50.666666666666664,0.6666666666666666,1.0,2.6666666666666665,0.0,4.0
75%,50.666666666666664,0.6666666666666666,1.0,2.6666666666666665,0.0,4.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,50.666666666666664,0.6666666666666666,1.0,2.6666666666666665,0.0,4.0
mean,50.666666666666664,0.6666666666666666,1.0,2.6666666666666665,0.0,4.0
min,50.666666666666664,0.6666666666666666,1.0,2.6666666666666665,0.0,4.0
std,,,,,,
