,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,31.79513888888889,0.514808362369338,1.603658536585366,2.3645833333333335,0.0,4.483506944444445
50%,34.94444444444444,0.6202090592334495,1.7682926829268293,2.6614583333333335,0.0,4.678819444444445
75%,38.001736111111114,0.7186411149825784,2.058362369337979,2.9244791666666665,0.0,4.913194444444445
count,2.40625,2.4027777777777777,2.357638888888889,2.375,2.40625,2.40625
max,42.10069444444444,0.8048780487804879,2.4250871080139373,3.1631944444444446,0.0,5.364583333333333
mean,35.105344742063494,0.6103534096565456,1.865301974448316,2.637818287037037,0.0,4.729943783068783
min,28.71527777777778,0.3902439024390244,1.456445993031359,2.0868055555555554,0.0,4.225694444444445
std,10.542810998290765,0.3637905029216877,0.8502551502068738,0.9313062192647492,0.0,0.9200922116707172
