,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,26.0,0.0,1.0,2.0,0.0,4.0
50%,26.0,0.0,1.0,2.0,0.0,4.0
75%,26.0,0.0,1.0,2.0,0.0,4.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,26.0,0.0,1.0,2.0,0.0,4.0
mean,26.0,0.0,1.0,2.0,0.0,4.0
min,26.0,0.0,1.0,2.0,0.0,4.0
std,,,,,,
