,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,16.04,0.43333333333333335,1.7852112676056338,2.375,0.0,3.34
50%,16.733333333333334,0.4533333333333333,1.795774647887324,2.3986486486486487,0.0,3.4
75%,17.366666666666667,0.4666666666666667,1.8204225352112675,2.4425675675675675,0.0,3.473333333333333
count,1.1733333333333333,1.1733333333333333,1.08,1.16,1.1733333333333333,1.1733333333333333
max,18.0,0.48,1.8450704225352113,2.4864864864864864,0.0,3.546666666666667
mean,16.69333333333333,0.44888888888888884,1.8051643192488263,2.4121621621621623,0.0,3.408888888888889
min,15.346666666666666,0.41333333333333333,1.7746478873239437,2.3513513513513513,0.0,3.28
std,11.986691608748282,0.30961612672143785,0.4095026102423618,0.607436206897701,0.0,1.2177613180409903
