,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,67.0,0.0,2.0,3.0,0.0,2.0
50%,67.0,0.0,2.0,3.0,0.0,2.0
75%,67.0,0.0,2.0,3.0,0.0,2.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,67.0,0.0,2.0,3.0,0.0,2.0
mean,67.0,0.0,2.0,3.0,0.0,2.0
min,67.0,0.0,2.0,3.0,0.0,2.0
std,,,,,,
