,0.0,1.0,2.0,3.0,4.0
Total Rows,27.0,,,,
AGE_min,31.0,,,,
AGE_25%,41.5,,,,
AGE_50%,49.0,,,,
AGE_75%,63.0,,,,
AGE_max,76.0,,,,
AGE_std,14.207357349239965,,,,
LOS_min,0.0,,,,
LOS_25%,1.0,,,,
LOS_50%,3.0,,,,
LOS_75%,4.0,,,,
LOS_max,30.0,,,,
LOS_std,6.285469155689375,,,,
RACE,0.0,14.0,3.0,8.0,1.0
ZIPINC_QRTL,0.0,8.0,7.0,4.0,8.0
DIED,27.0,0.0,0.0,0.0,0.0
