,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,36.916666666666664,0.25,1.3333333333333333,2.4166666666666665,0.0,4.083333333333333
50%,36.916666666666664,0.25,1.3333333333333333,2.4166666666666665,0.0,4.083333333333333
75%,36.916666666666664,0.25,1.3333333333333333,2.4166666666666665,0.0,4.083333333333333
count,1.0,1.0,1.0,1.0,1.0,1.0
max,36.916666666666664,0.25,1.3333333333333333,2.4166666666666665,0.0,4.083333333333333
mean,36.916666666666664,0.25,1.3333333333333333,2.4166666666666665,0.0,4.083333333333333
min,36.916666666666664,0.25,1.3333333333333333,2.4166666666666665,0.0,4.083333333333333
std,,,,,,
