,0.0,1.0,2.0,3.0
Total Rows,2.0,,,
AGE_min,30.0,,,
AGE_25%,39.25,,,
AGE_50%,48.5,,,
AGE_75%,57.75,,,
AGE_max,67.0,,,
AGE_std,26.16295090390226,,,
LOS_min,2.0,,,
LOS_25%,2.5,,,
LOS_50%,3.0,,,
LOS_75%,3.5,,,
LOS_max,4.0,,,
LOS_std,1.4142135623730951,,,
RACE,0.0,1.0,1.0,0.0
ZIPINC_QRTL,0.0,1.0,0.0,1.0
DIED,2.0,0.0,0.0,0.0
