,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,54.0,0.0,1.0,3.0,0.0,5.0
50%,54.0,0.0,1.0,3.0,0.0,5.0
75%,54.0,0.0,1.0,3.0,0.0,5.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,54.0,0.0,1.0,3.0,0.0,5.0
mean,54.0,0.0,1.0,3.0,0.0,5.0
min,54.0,0.0,1.0,3.0,0.0,5.0
std,,,,,,
