,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,46.25,0.5,2.0,3.0,0.0,3.75
50%,46.25,0.5,2.0,3.0,0.0,3.75
75%,46.25,0.5,2.0,3.0,0.0,3.75
count,1.0,1.0,1.0,1.0,1.0,1.0
max,46.25,0.5,2.0,3.0,0.0,3.75
mean,46.25,0.5,2.0,3.0,0.0,3.75
min,46.25,0.5,2.0,3.0,0.0,3.75
std,,,,,,
