,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,78.0,0.0,1.0,4.0,0.0,3.0
50%,78.0,0.0,1.0,4.0,0.0,3.0
75%,78.0,0.0,1.0,4.0,0.0,3.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,78.0,0.0,1.0,4.0,0.0,3.0
mean,78.0,0.0,1.0,4.0,0.0,3.0
min,78.0,0.0,1.0,4.0,0.0,3.0
std,,,,,,
